time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2024-05-17;2024-05-17;Lancet;;Kherson oblast;1.0;1;
2024-05-16;2024-05-16;Unknown UAV;;Kherson oblast;1.0;1;
2024-05-15;2024-05-15;ZALA;;Kherson oblast;1.0;1;
2024-05-15;2024-05-15;Supercam;;Kherson oblast;1.0;1;
2024-05-12;2024-05-12;Lancet;;Kherson oblast;1.0;1;
2024-05-11;2024-05-11;ZALA;;Kherson oblast;4.0;4;
2024-05-10;2024-05-10;ZALA;;Kherson oblast;1.0;1;
2024-05-10;2024-05-10;Supercam;;Kherson oblast;1.0;1;
2024-05-10;2024-05-10;Lancet;;Kherson oblast;1.0;1;
2024-05-09;2024-05-09;ZALA;;Kherson oblast;2.0;2;
2024-05-09;2024-05-09;Supercam;;Kherson oblast;3.0;3;
2024-05-06;2024-05-06;Unknown UAV;;Kherson oblast;1.0;1;
2024-05-06;2024-05-06;Reconnaissance UAV;;Kherson oblast;1.0;1;
2024-05-03;2024-05-03;Supercam;;Kherson oblast;1.0;1;
2024-05-03;2024-05-03;Supercam;;Kherson oblast;1.0;1;
2024-04-27;2024-04-27;Orlan-10;;Kherson oblast;1.0;1;
2024-04-26;2024-04-26;Orlan-10;;Kherson oblast;1.0;1;
2024-04-26;2024-04-26;Supercam;;Kherson oblast;1.0;1;
2024-04-24;2024-04-24;Lancet;;Kherson oblast;2.0;2;
2024-03-11;2024-03-11;Lancet;;Kherson oblast;2.0;2;
2024-03-10;2024-03-10;Lancet;;Kherson oblast;3.0;3;
2024-03-08;2024-03-08;Lancet;;Kherson oblast;1.0;1;
2024-02-29;2024-02-29;Lancet;;Kherson oblast;2.0;2;
2024-02-28;2024-02-28;Lancet;;Kherson oblast;1.0;1;
2024-02-27;2024-02-27;X-31P;;Kherson oblast;1.0;0;
2024-02-27;2024-02-27;ZALA;;Kherson oblast;2.0;2;
2024-02-27;2024-02-27;Supercam;;Kherson oblast;1.0;1;
2024-02-26;2024-02-26;ZALA;;Kherson oblast;2.0;2;
2024-02-26;2024-02-26;Merlin-VR;;Kherson oblast;1.0;1;
2024-02-24;2024-02-24;ZALA;;Kherson oblast;1.0;1;
2024-02-23;2024-02-23;ZALA;;Kherson oblast;1.0;1;
2024-02-23;2024-02-23;Supercam;;Kherson oblast;1.0;1;
2024-02-19;2024-02-19;Lancet;;Kherson oblast;1.0;1;
2024-02-17;2024-02-17;ZALA;;Kherson oblast;1.0;1;
2024-02-17;2024-02-17;Supercam;;Kherson oblast;1.0;1;
2024-02-09;2024-02-09;ZALA;;Kherson oblast;1.0;1;
2024-02-09;2024-02-09;Supercam;;Kherson oblast;1.0;1;
2024-02-02;2024-02-02;ZALA;;Kherson oblast;1.0;1;
2024-02-01;2024-02-01;Orlan-10;;Kherson oblast;1.0;1;
2024-01-31;2024-01-31;Merlin-VR;;Kherson oblast;1.0;1;
2024-01-31;2024-01-31;Lancet;;Kherson oblast;2.0;2;
2024-01-30;2024-01-30;Supercam;;Kherson oblast;1.0;1;
